[  5]   1.00-2.00   sec  4.81 GBytes  41.3 Gbits/sec  7549   2.01 MBytes       
[  5]   2.00-3.00   sec  5.12 GBytes  44.0 Gbits/sec  5035    821 KBytes       
[  5]   3.00-4.00   sec  4.57 GBytes  39.2 Gbits/sec  14623    726 KBytes       
[  5]   4.00-5.00   sec  4.61 GBytes  39.6 Gbits/sec  9541    695 KBytes       
[  5]   5.00-6.00   sec  4.55 GBytes  39.1 Gbits/sec  13456   1.12 MBytes       
[  5]   6.00-7.00   sec  4.99 GBytes  42.9 Gbits/sec  6196    707 KBytes       
[  5]   7.00-8.00   sec  5.01 GBytes  43.1 Gbits/sec  6031   2.19 MBytes       
[  5]   8.00-9.00   sec  5.14 GBytes  44.2 Gbits/sec  4673    878 KBytes       
[  5]   9.00-10.00  sec  5.09 GBytes  43.7 Gbits/sec  6830    703 KBytes       
[  5]  10.00-11.00  sec  4.55 GBytes  39.1 Gbits/sec  11754    773 KBytes       
[  5]  11.00-12.00  sec  4.55 GBytes  39.1 Gbits/sec  12598    715 KBytes       
[  5]  12.00-13.00  sec  4.55 GBytes  39.1 Gbits/sec  9548    772 KBytes       
[  5]  13.00-14.00  sec  5.16 GBytes  44.4 Gbits/sec  4874   1.91 MBytes       
[  5]  14.00-15.00  sec  4.76 GBytes  40.9 Gbits/sec  9806   1.51 MBytes       
[  5]  15.00-16.00  sec  4.57 GBytes  39.3 Gbits/sec  9794    763 KBytes       
[  5]  16.00-17.00  sec  4.63 GBytes  39.8 Gbits/sec  11074    899 KBytes       
[  5]  17.00-18.00  sec  4.88 GBytes  41.9 Gbits/sec  8065    856 KBytes       
[  5]  18.00-19.00  sec  4.57 GBytes  39.3 Gbits/sec  8926   1.23 MBytes       
[  5]  19.00-20.00  sec  4.58 GBytes  39.4 Gbits/sec  11363    733 KBytes       
[  5]  20.00-21.00  sec  4.54 GBytes  39.0 Gbits/sec  10642    841 KBytes       
[  5]  21.00-22.00  sec  4.54 GBytes  39.0 Gbits/sec  11781    849 KBytes       
[  5]  22.00-23.00  sec  4.56 GBytes  39.1 Gbits/sec  15037    740 KBytes       
[  5]  23.00-24.00  sec  4.66 GBytes  40.0 Gbits/sec  7224    888 KBytes       
[  5]  24.00-25.00  sec  4.59 GBytes  39.4 Gbits/sec  12866    968 KBytes       
[  5]  25.00-26.00  sec  4.92 GBytes  42.2 Gbits/sec  8946   1.73 MBytes       
[  5]  26.00-27.00  sec  4.92 GBytes  42.3 Gbits/sec  5718   1.08 MBytes       
[  5]  27.00-28.00  sec  4.60 GBytes  39.5 Gbits/sec  10568    767 KBytes       
[  5]  28.00-29.00  sec  4.60 GBytes  39.5 Gbits/sec  9484   1.38 MBytes       
[  5]  29.00-30.00  sec  4.89 GBytes  42.0 Gbits/sec  10001    839 KBytes
[  5]   0.00-1.00   sec  5.11 GBytes  43.9 Gbits/sec  3548    863 KBytes       
[  5]   1.00-2.00   sec  4.51 GBytes  38.8 Gbits/sec  14209    752 KBytes       
[  5]   2.00-3.00   sec  4.52 GBytes  38.8 Gbits/sec  11603    827 KBytes       
[  5]   3.00-4.00   sec  4.53 GBytes  38.9 Gbits/sec  12799    723 KBytes       
[  5]   4.00-5.00   sec  4.60 GBytes  39.5 Gbits/sec  11438    593 KBytes       
[  5]   5.00-6.00   sec  4.82 GBytes  41.4 Gbits/sec  8747    742 KBytes       
[  5]   6.00-7.00   sec  4.87 GBytes  41.9 Gbits/sec  4566   1.91 MBytes       
[  5]   7.00-8.00   sec  5.11 GBytes  43.9 Gbits/sec  5671    834 KBytes       
[  5]   8.00-9.00   sec  4.57 GBytes  39.2 Gbits/sec  9752    765 KBytes       
[  5]   9.00-10.00  sec  4.57 GBytes  39.3 Gbits/sec  11734   1.05 MBytes       
[  5]  10.00-11.00  sec  4.56 GBytes  39.2 Gbits/sec  11991    819 KBytes       
[  5]  11.00-12.00  sec  4.55 GBytes  39.1 Gbits/sec  11787    667 KBytes       
[  5]  12.00-13.00  sec  4.53 GBytes  38.9 Gbits/sec  12095    741 KBytes       
[  5]  13.00-14.00  sec  4.54 GBytes  39.0 Gbits/sec  8211    810 KBytes       
[  5]  14.00-15.00  sec  4.56 GBytes  39.1 Gbits/sec  11789    694 KBytes       
[  5]  15.00-16.00  sec  4.59 GBytes  39.4 Gbits/sec  10047    890 KBytes       
[  5]  16.00-17.00  sec  4.63 GBytes  39.8 Gbits/sec  9672    957 KBytes       
[  5]  17.00-18.00  sec  4.56 GBytes  39.2 Gbits/sec  12214   1.30 MBytes       
[  5]  18.00-19.00  sec  4.77 GBytes  41.0 Gbits/sec  8994    666 KBytes       
[  5]  19.00-20.00  sec  4.58 GBytes  39.3 Gbits/sec  12017    731 KBytes       
[  5]  20.00-21.00  sec  4.54 GBytes  39.0 Gbits/sec  13501    754 KBytes       
[  5]  21.00-22.00  sec  5.27 GBytes  45.3 Gbits/sec  4121    689 KBytes       
[  5]  22.00-23.00  sec  4.87 GBytes  41.8 Gbits/sec  11853    515 KBytes       
[  5]  23.00-24.00  sec  4.54 GBytes  39.0 Gbits/sec  10267    791 KBytes       
[  5]  24.00-25.00  sec  4.52 GBytes  38.8 Gbits/sec  9385    519 KBytes       
[  5]  25.00-26.00  sec  4.53 GBytes  38.9 Gbits/sec  8691    749 KBytes       
[  5]  26.00-27.00  sec  4.57 GBytes  39.3 Gbits/sec  10131   1.85 MBytes       
[  5]  27.00-28.00  sec  4.55 GBytes  39.1 Gbits/sec  8290    852 KBytes       
[  5]  28.00-29.00  sec  4.56 GBytes  39.2 Gbits/sec  9892    954 KBytes       
[  5]  29.00-30.00  sec  5.17 GBytes  44.4 Gbits/sec  5223   2.17 MBytes 
