[  5]   1.00-2.00   sec   969 MBytes  8.13 Gbits/sec  2744    166 KBytes       
[  5]   2.00-3.00   sec   986 MBytes  8.27 Gbits/sec  2946    183 KBytes       
[  5]   3.00-4.00   sec   982 MBytes  8.24 Gbits/sec  2714    174 KBytes       
[  5]   4.00-5.00   sec   984 MBytes  8.25 Gbits/sec  2862    180 KBytes       
[  5]   5.00-6.00   sec  1.28 GBytes  11.0 Gbits/sec  2933    225 KBytes       
[  5]   6.00-7.00   sec  1.46 GBytes  12.5 Gbits/sec  4026    237 KBytes       
[  5]   7.00-8.00   sec  1.46 GBytes  12.6 Gbits/sec  3534    210 KBytes       
[  5]   8.00-9.00   sec  1.11 GBytes  9.56 Gbits/sec  3351    185 KBytes       
[  5]   9.00-10.00  sec  1.47 GBytes  12.7 Gbits/sec  4282    194 KBytes       
[  5]  10.00-11.00  sec  1.50 GBytes  12.9 Gbits/sec  3359    256 KBytes       
[  5]  11.00-12.00  sec  1.49 GBytes  12.8 Gbits/sec  3435    234 KBytes       
[  5]  12.00-13.00  sec  1.50 GBytes  12.9 Gbits/sec  2662    245 KBytes       
[  5]  13.00-14.00  sec  1.49 GBytes  12.8 Gbits/sec  3765    232 KBytes       
[  5]  14.00-15.00  sec  1.44 GBytes  12.3 Gbits/sec  3946    236 KBytes       
[  5]  15.00-16.00  sec  1.49 GBytes  12.8 Gbits/sec  3331    228 KBytes       
[  5]  16.00-17.00  sec  1.50 GBytes  12.9 Gbits/sec  2667    265 KBytes       
[  5]  17.00-18.00  sec  1.50 GBytes  12.9 Gbits/sec  3276    202 KBytes       
[  5]  18.00-19.00  sec  1.49 GBytes  12.8 Gbits/sec  2688    224 KBytes       
[  5]  19.00-20.00  sec  1.47 GBytes  12.6 Gbits/sec  3014    227 KBytes       
[  5]  20.00-21.00  sec  1.50 GBytes  12.9 Gbits/sec  3474    250 KBytes       
[  5]  21.00-22.00  sec  1.50 GBytes  12.9 Gbits/sec  3295    261 KBytes       
[  5]  22.00-23.00  sec  1.51 GBytes  12.9 Gbits/sec  2668    197 KBytes       
[  5]  23.00-24.00  sec  1.50 GBytes  12.9 Gbits/sec  2350    204 KBytes       
[  5]  24.00-25.00  sec  1.50 GBytes  12.9 Gbits/sec  3983    248 KBytes       
[  5]  25.00-26.00  sec  1.50 GBytes  12.9 Gbits/sec  3665    269 KBytes       
[  5]  26.00-27.00  sec  1.50 GBytes  12.8 Gbits/sec  2975    214 KBytes       
[  5]  27.00-28.00  sec  1.49 GBytes  12.8 Gbits/sec  2984    236 KBytes       
[  5]  28.00-29.00  sec  1.50 GBytes  12.9 Gbits/sec  3254    225 KBytes       
[  5]  29.00-30.00  sec  1.49 GBytes  12.8 Gbits/sec  2888    293 KBytes
[  5]   2.00-3.00   sec  1.04 GBytes  8.89 Gbits/sec  3006    187 KBytes       
[  5]   3.00-4.00   sec  1.03 GBytes  8.82 Gbits/sec  2368    186 KBytes       
[  5]   4.00-5.00   sec  1.02 GBytes  8.77 Gbits/sec  3153    165 KBytes       
[  5]   5.00-6.00   sec  1.20 GBytes  10.3 Gbits/sec  1745    249 KBytes       
[  5]   6.00-7.00   sec  1.47 GBytes  12.6 Gbits/sec  2883    290 KBytes       
[  5]   7.00-8.00   sec  1.42 GBytes  12.2 Gbits/sec  3549    238 KBytes       
[  5]   8.00-9.00   sec  1.44 GBytes  12.4 Gbits/sec  3420    279 KBytes       
[  5]   9.00-10.00  sec  1.45 GBytes  12.4 Gbits/sec  3187    301 KBytes       
[  5]  10.00-11.00  sec  1.45 GBytes  12.4 Gbits/sec  3616    258 KBytes       
[  5]  11.00-12.00  sec  1.46 GBytes  12.6 Gbits/sec  3111    242 KBytes       
[  5]  12.00-13.00  sec  1.44 GBytes  12.4 Gbits/sec  3153    169 KBytes       
[  5]  13.00-14.00  sec  1.47 GBytes  12.7 Gbits/sec  2964    278 KBytes       
[  5]  14.00-15.00  sec  1.47 GBytes  12.6 Gbits/sec  2591    218 KBytes       
[  5]  15.00-16.00  sec  1.45 GBytes  12.4 Gbits/sec  1998    306 KBytes       
[  5]  16.00-17.00  sec  1.47 GBytes  12.6 Gbits/sec  2341    205 KBytes       
[  5]  17.00-18.00  sec  1.44 GBytes  12.4 Gbits/sec  2826    230 KBytes       
[  5]  18.00-19.00  sec  1.44 GBytes  12.4 Gbits/sec  3015    216 KBytes       
[  5]  19.00-20.00  sec  1.46 GBytes  12.5 Gbits/sec  2993    213 KBytes       
[  5]  20.00-21.00  sec  1.44 GBytes  12.4 Gbits/sec  2587    263 KBytes       
[  5]  21.00-22.00  sec  1.47 GBytes  12.6 Gbits/sec  2960    288 KBytes       
[  5]  22.00-23.00  sec  1.46 GBytes  12.5 Gbits/sec  3232    232 KBytes       
[  5]  23.00-24.00  sec  1.47 GBytes  12.6 Gbits/sec  2395    265 KBytes       
[  5]  24.00-25.00  sec  1.46 GBytes  12.5 Gbits/sec  3096    164 KBytes       
[  5]  25.00-26.00  sec  1.43 GBytes  12.3 Gbits/sec  3009    230 KBytes       
[  5]  26.00-27.00  sec  1.45 GBytes  12.5 Gbits/sec  2143    159 KBytes       
[  5]  27.00-28.00  sec  1.46 GBytes  12.6 Gbits/sec  2629    246 KBytes       
[  5]  28.00-29.00  sec  1.48 GBytes  12.7 Gbits/sec  2543    221 KBytes       
[  5]  29.00-30.00  sec  1.47 GBytes  12.6 Gbits/sec  3617    239 KBytes
