[  5]   2.00-3.00   sec  3.43 GBytes  29.4 Gbits/sec  2277    597 KBytes       
[  5]   3.00-4.00   sec  3.41 GBytes  29.3 Gbits/sec  3050    566 KBytes       
[  5]   4.00-5.00   sec  3.38 GBytes  29.1 Gbits/sec  2970    670 KBytes       
[  5]   5.00-6.00   sec  3.38 GBytes  29.1 Gbits/sec  2788    514 KBytes       
[  5]   6.00-7.00   sec  3.40 GBytes  29.2 Gbits/sec  2785    579 KBytes       
[  5]   7.00-8.00   sec  3.39 GBytes  29.1 Gbits/sec  2879    551 KBytes       
[  5]   8.00-9.00   sec  3.38 GBytes  29.1 Gbits/sec  2753    538 KBytes       
[  5]   9.00-10.00  sec  3.39 GBytes  29.1 Gbits/sec  3010    558 KBytes       
[  5]  10.00-11.00  sec  3.39 GBytes  29.1 Gbits/sec  2591    572 KBytes       
[  5]  11.00-12.00  sec  3.40 GBytes  29.2 Gbits/sec  2825    588 KBytes       
[  5]  12.00-13.00  sec  3.39 GBytes  29.1 Gbits/sec  3017    509 KBytes       
[  5]  13.00-14.00  sec  3.40 GBytes  29.2 Gbits/sec  2876    653 KBytes       
[  5]  14.00-15.00  sec  3.39 GBytes  29.1 Gbits/sec  2293    700 KBytes       
[  5]  15.00-16.00  sec  3.38 GBytes  29.0 Gbits/sec  2557    573 KBytes       
[  5]  16.00-17.00  sec  3.38 GBytes  29.1 Gbits/sec  2852    595 KBytes       
[  5]  17.00-18.00  sec  3.38 GBytes  29.0 Gbits/sec  3616    558 KBytes       
[  5]  18.00-19.00  sec  3.39 GBytes  29.1 Gbits/sec  3169    472 KBytes       
[  5]  19.00-20.00  sec  3.36 GBytes  28.9 Gbits/sec  2937    600 KBytes       
[  5]  20.00-21.00  sec  3.39 GBytes  29.1 Gbits/sec  2827    545 KBytes       
[  5]  21.00-22.00  sec  3.39 GBytes  29.1 Gbits/sec  2749    648 KBytes       
[  5]  22.00-23.00  sec  3.40 GBytes  29.2 Gbits/sec  3078    569 KBytes       
[  5]  23.00-24.00  sec  3.39 GBytes  29.1 Gbits/sec  3472    659 KBytes       
[  5]  24.00-25.00  sec  3.39 GBytes  29.1 Gbits/sec  3073    607 KBytes       
[  5]  25.00-26.00  sec  3.38 GBytes  29.0 Gbits/sec  2462    534 KBytes       
[  5]  26.00-27.00  sec  3.39 GBytes  29.1 Gbits/sec  2973    682 KBytes       
[  5]  27.00-28.00  sec  3.39 GBytes  29.1 Gbits/sec  2422    656 KBytes       
[  5]  28.00-29.00  sec  3.38 GBytes  29.0 Gbits/sec  2545    560 KBytes       
[  5]  29.00-30.00  sec  3.38 GBytes  29.1 Gbits/sec  2710    669 KBytes
[  5]   1.00-2.00   sec  3.22 GBytes  27.7 Gbits/sec  2750    588 KBytes       
[  5]   2.00-3.00   sec  3.26 GBytes  28.0 Gbits/sec  3654    580 KBytes       
[  5]   3.00-4.00   sec  3.24 GBytes  27.9 Gbits/sec  3119    657 KBytes       
[  5]   4.00-5.00   sec  3.23 GBytes  27.7 Gbits/sec  3239    584 KBytes       
[  5]   5.00-6.00   sec  4.31 GBytes  37.0 Gbits/sec  3455    869 KBytes       
[  5]   6.00-7.00   sec  4.45 GBytes  38.2 Gbits/sec  1979    654 KBytes       
[  5]   7.00-8.00   sec  4.39 GBytes  37.7 Gbits/sec  3113    819 KBytes       
[  5]   8.00-9.00   sec  4.42 GBytes  37.9 Gbits/sec  4215    826 KBytes       
[  5]   9.00-10.00  sec  4.44 GBytes  38.2 Gbits/sec  4008    752 KBytes       
[  5]  10.00-11.00  sec  4.42 GBytes  37.9 Gbits/sec  2024    689 KBytes       
[  5]  11.00-12.00  sec  4.41 GBytes  37.9 Gbits/sec  2904    664 KBytes       
[  5]  12.00-13.00  sec  4.38 GBytes  37.7 Gbits/sec  2985    900 KBytes       
[  5]  13.00-14.00  sec  4.42 GBytes  38.0 Gbits/sec  3800    769 KBytes       
[  5]  14.00-15.00  sec  4.43 GBytes  38.1 Gbits/sec  3938    939 KBytes       
[  5]  15.00-16.00  sec  4.42 GBytes  38.0 Gbits/sec  2183    667 KBytes       
[  5]  16.00-17.00  sec  4.35 GBytes  37.4 Gbits/sec  5301    948 KBytes       
[  5]  17.00-18.00  sec  4.36 GBytes  37.5 Gbits/sec  3196    917 KBytes       
[  5]  18.00-19.00  sec  4.40 GBytes  37.8 Gbits/sec  4031    577 KBytes       
[  5]  19.00-20.00  sec  4.42 GBytes  38.0 Gbits/sec  3530    730 KBytes       
[  5]  20.00-21.00  sec  4.36 GBytes  37.5 Gbits/sec  4825    859 KBytes       
[  5]  21.00-22.00  sec  4.46 GBytes  38.3 Gbits/sec  2490    779 KBytes       
[  5]  22.00-23.00  sec  4.46 GBytes  38.3 Gbits/sec  3857    600 KBytes       
[  5]  23.00-24.00  sec  4.46 GBytes  38.3 Gbits/sec  2596    631 KBytes       
[  5]  24.00-25.00  sec  4.40 GBytes  37.8 Gbits/sec  2448    614 KBytes       
[  5]  25.00-26.00  sec  4.42 GBytes  38.0 Gbits/sec  3449    702 KBytes       
[  5]  26.00-27.00  sec  4.43 GBytes  38.1 Gbits/sec  3582    800 KBytes       
[  5]  27.00-28.00  sec  4.45 GBytes  38.2 Gbits/sec  2449    671 KBytes       
[  5]  28.00-29.00  sec  4.46 GBytes  38.3 Gbits/sec  2689    614 KBytes       
[  5]  29.00-30.00  sec  4.41 GBytes  37.9 Gbits/sec  3797    802 KBytes
