[  5]   1.00-2.00   sec   748 MBytes  6.27 Gbits/sec    0   3.05 MBytes       
[  5]   2.00-3.00   sec   744 MBytes  6.24 Gbits/sec    0   3.05 MBytes       
[  5]   3.00-4.00   sec   754 MBytes  6.32 Gbits/sec    0   3.05 MBytes       
[  5]   4.00-5.00   sec   760 MBytes  6.38 Gbits/sec    0   3.05 MBytes       
[  5]   5.00-6.00   sec   761 MBytes  6.39 Gbits/sec    0   3.05 MBytes       
[  5]   6.00-7.00   sec   762 MBytes  6.40 Gbits/sec    0   3.05 MBytes       
[  5]   7.00-8.00   sec   762 MBytes  6.40 Gbits/sec    0   3.05 MBytes       
[  5]   8.00-9.00   sec   761 MBytes  6.39 Gbits/sec    0   3.05 MBytes       
[  5]   9.00-10.00  sec   762 MBytes  6.40 Gbits/sec    0   3.05 MBytes       
[  5]  10.00-11.00  sec   762 MBytes  6.40 Gbits/sec    0   3.05 MBytes       
[  5]  11.00-12.00  sec   761 MBytes  6.39 Gbits/sec    0   3.05 MBytes       
[  5]  12.00-13.00  sec   764 MBytes  6.41 Gbits/sec    0   3.05 MBytes       
[  5]  13.00-14.00  sec   762 MBytes  6.40 Gbits/sec    0   3.05 MBytes       
[  5]  14.00-15.00  sec   758 MBytes  6.35 Gbits/sec    0   3.05 MBytes       
[  5]  15.00-16.00  sec   754 MBytes  6.32 Gbits/sec    0   3.05 MBytes       
[  5]  16.00-17.00  sec   760 MBytes  6.38 Gbits/sec    0   3.05 MBytes       
[  5]  17.00-18.00  sec   762 MBytes  6.40 Gbits/sec    0   3.05 MBytes       
[  5]  18.00-19.00  sec   761 MBytes  6.39 Gbits/sec    0   3.05 MBytes       
[  5]  19.00-20.00  sec   759 MBytes  6.36 Gbits/sec    0   3.05 MBytes       
[  5]  20.00-21.00  sec   762 MBytes  6.40 Gbits/sec    0   3.05 MBytes       
[  5]  21.00-22.00  sec   762 MBytes  6.40 Gbits/sec    0   3.05 MBytes       
[  5]  22.00-23.00  sec   761 MBytes  6.39 Gbits/sec    0   3.05 MBytes       
[  5]  23.00-24.00  sec   760 MBytes  6.38 Gbits/sec    0   3.05 MBytes       
[  5]  24.00-25.00  sec   761 MBytes  6.39 Gbits/sec    0   3.05 MBytes       
[  5]  25.00-26.00  sec   764 MBytes  6.41 Gbits/sec    0   3.05 MBytes       
[  5]  26.00-27.00  sec   762 MBytes  6.40 Gbits/sec    0   3.05 MBytes       
[  5]  27.00-28.00  sec   760 MBytes  6.38 Gbits/sec    0   3.05 MBytes       
[  5]  28.00-29.00  sec   762 MBytes  6.40 Gbits/sec    0   3.05 MBytes       
[  5]  29.00-30.00  sec   762 MBytes  6.40 Gbits/sec    0   3.05 MBytes
[  5]   1.00-2.00   sec   764 MBytes  6.41 Gbits/sec    0   3.01 MBytes       
[  5]   2.00-3.00   sec   764 MBytes  6.41 Gbits/sec    0   3.01 MBytes       
[  5]   3.00-4.00   sec   761 MBytes  6.39 Gbits/sec    0   3.01 MBytes       
[  5]   4.00-5.00   sec   752 MBytes  6.31 Gbits/sec    0   3.01 MBytes       
[  5]   5.00-6.00   sec   755 MBytes  6.33 Gbits/sec    0   3.01 MBytes       
[  5]   6.00-7.00   sec   761 MBytes  6.39 Gbits/sec    0   3.01 MBytes       
[  5]   7.00-8.00   sec   764 MBytes  6.41 Gbits/sec    0   3.01 MBytes       
[  5]   8.00-9.00   sec   762 MBytes  6.40 Gbits/sec    0   3.01 MBytes       
[  5]   9.00-10.00  sec   764 MBytes  6.41 Gbits/sec    0   3.01 MBytes       
[  5]  10.00-11.00  sec   765 MBytes  6.42 Gbits/sec    0   3.01 MBytes       
[  5]  11.00-12.00  sec   761 MBytes  6.39 Gbits/sec    0   3.01 MBytes       
[  5]  12.00-13.00  sec   755 MBytes  6.33 Gbits/sec    0   3.01 MBytes       
[  5]  13.00-14.00  sec   754 MBytes  6.32 Gbits/sec    0   3.01 MBytes       
[  5]  14.00-15.00  sec   759 MBytes  6.36 Gbits/sec    0   3.01 MBytes       
[  5]  15.00-16.00  sec   764 MBytes  6.41 Gbits/sec    0   3.01 MBytes       
[  5]  16.00-17.00  sec   762 MBytes  6.40 Gbits/sec    0   3.01 MBytes       
[  5]  17.00-18.00  sec   764 MBytes  6.41 Gbits/sec    0   3.01 MBytes       
[  5]  18.00-19.00  sec   760 MBytes  6.38 Gbits/sec    0   3.01 MBytes       
[  5]  19.00-20.00  sec   760 MBytes  6.38 Gbits/sec    0   3.01 MBytes       
[  5]  20.00-21.00  sec   761 MBytes  6.39 Gbits/sec    0   3.01 MBytes       
[  5]  21.00-22.00  sec   764 MBytes  6.41 Gbits/sec    0   3.01 MBytes       
[  5]  22.00-23.00  sec   764 MBytes  6.41 Gbits/sec    0   3.01 MBytes       
[  5]  23.00-24.00  sec   760 MBytes  6.38 Gbits/sec    0   3.01 MBytes       
[  5]  24.00-25.00  sec   761 MBytes  6.39 Gbits/sec    0   3.01 MBytes       
[  5]  25.00-26.00  sec   761 MBytes  6.38 Gbits/sec    0   3.01 MBytes       
[  5]  26.00-27.00  sec   766 MBytes  6.43 Gbits/sec    0   3.01 MBytes       
[  5]  27.00-28.00  sec   766 MBytes  6.43 Gbits/sec    0   3.01 MBytes       
[  5]  28.00-29.00  sec   766 MBytes  6.43 Gbits/sec    0   3.01 MBytes       
[  5]  29.00-30.00  sec   766 MBytes  6.43 Gbits/sec    0   3.01 MBytes
