900 Mbps[  5]   0.00-8.19   sec   858 MBytes   879 Mbits/sec  0.175 ms  0/749553 (0%)  receiver
1050 Mbps[  5]   0.00-8.00   sec  1001 MBytes  1050 Mbits/sec  0.002 ms  0/874945 (0%)  receiver
1200 Mbps[  5]   0.00-8.00   sec  1.12 GBytes  1200 Mbits/sec  0.003 ms  0/999948 (0%)  receiver
1350 Mbps[  5]   0.00-8.00   sec  1.26 GBytes  1350 Mbits/sec  0.002 ms  0/1124862 (0%)  receiver
1500 Mbps[  5]   0.00-8.00   sec  1.40 GBytes  1500 Mbits/sec  0.002 ms  0/1249951 (0%)  receiver
1650 Mbps[  5]   0.00-8.00   sec  1.54 GBytes  1650 Mbits/sec  0.002 ms  0/1374962 (0%)  receiver
1800 Mbps[  5]   0.00-8.00   sec  1.68 GBytes  1800 Mbits/sec  0.002 ms  0/1499944 (0%)  receiver
1950 Mbps[  5]   0.00-8.00   sec  1.81 GBytes  1943 Mbits/sec  0.002 ms  0/1619504 (0%)  receiver
2100 Mbps[  5]   0.00-8.00   sec  1.96 GBytes  2099 Mbits/sec  0.001 ms  491/1749922 (0.028%)  receiver
2250 Mbps[  5]   0.00-8.00   sec  2.10 GBytes  2250 Mbits/sec  0.001 ms  0/1874986 (0%)  receiver
2400 Mbps[  5]   0.00-8.00   sec  2.23 GBytes  2396 Mbits/sec  0.001 ms  3191/1999721 (0.16%)  receiver
2550 Mbps[  5]   0.00-8.00   sec  2.37 GBytes  2543 Mbits/sec  0.002 ms  5889/2124976 (0.28%)  receiver
2700 Mbps[  5]   0.00-8.00   sec  2.51 GBytes  2699 Mbits/sec  0.002 ms  193/2249788 (0.0086%)  receiver
2850 Mbps[  5]   0.00-8.00   sec  2.65 GBytes  2847 Mbits/sec  0.002 ms  1983/2374891 (0.083%)  receiver
3000 Mbps[  5]   0.00-8.00   sec  2.79 GBytes  2998 Mbits/sec  0.002 ms  1687/2499737 (0.067%)  receiver
3150 Mbps[  5]   0.00-8.00   sec  2.92 GBytes  3137 Mbits/sec  0.002 ms  10646/2624719 (0.41%)  receiver
3300 Mbps[  5]   0.00-8.00   sec  3.06 GBytes  3287 Mbits/sec  0.001 ms  10324/2749827 (0.38%)  receiver
3450 Mbps[  5]   0.00-8.00   sec  3.21 GBytes  3446 Mbits/sec  0.001 ms  3181/2874848 (0.11%)  receiver
3600 Mbps[  5]   0.00-8.00   sec  3.30 GBytes  3546 Mbits/sec  0.002 ms  45181/2999944 (1.5%)  receiver
3750 Mbps[  5]   0.00-8.00   sec  3.34 GBytes  3581 Mbits/sec  0.002 ms  131722/3116047 (4.2%)  receiver
3900 Mbps[  5]   0.00-8.00   sec  3.49 GBytes  3744 Mbits/sec  0.001 ms  129617/3249717 (4%)  receiver
4050 Mbps[  5]   0.00-8.00   sec  3.48 GBytes  3737 Mbits/sec  0.001 ms  260571/3374634 (7.7%)  receiver
4200 Mbps[  5]   0.00-8.00   sec  3.54 GBytes  3803 Mbits/sec  0.001 ms  330808/3499868 (9.5%)  receiver
4350 Mbps[  5]   0.00-8.00   sec  2.71 GBytes  2906 Mbits/sec  0.001 ms  117880/2540957 (4.6%)  receiver
900 Mbps[  5]   0.00-8.00   sec   858 MBytes   900 Mbits/sec  0.003 ms  0/749947 (0%)  receiver
1050 Mbps[  5]   0.00-8.00   sec  1001 MBytes  1050 Mbits/sec  0.002 ms  0/874927 (0%)  receiver
1200 Mbps[  5]   0.00-8.00   sec  1.12 GBytes  1200 Mbits/sec  0.002 ms  0/999943 (0%)  receiver
1350 Mbps[  5]   0.00-8.00   sec  1.26 GBytes  1350 Mbits/sec  0.002 ms  0/1124902 (0%)  receiver
1500 Mbps[  5]   0.00-8.00   sec  1.40 GBytes  1500 Mbits/sec  0.003 ms  0/1249978 (0%)  receiver
1650 Mbps[  5]   0.00-8.00   sec  1.54 GBytes  1650 Mbits/sec  0.002 ms  0/1374890 (0%)  receiver
1800 Mbps[  5]   0.00-8.00   sec  1.67 GBytes  1788 Mbits/sec  0.002 ms  604/1490502 (0.041%)  receiver
1950 Mbps[  5]   0.00-8.00   sec  1.82 GBytes  1950 Mbits/sec  0.003 ms  0/1624928 (0%)  receiver
2100 Mbps[  5]   0.00-8.00   sec  1.95 GBytes  2099 Mbits/sec  0.001 ms  674/1749937 (0.039%)  receiver
2250 Mbps[  5]   0.00-8.00   sec  2.09 GBytes  2249 Mbits/sec  0.004 ms  548/1874933 (0.029%)  receiver
2400 Mbps[  5]   0.00-8.00   sec  2.23 GBytes  2395 Mbits/sec  0.002 ms  4142/1999864 (0.21%)  receiver
2550 Mbps[  5]   0.00-8.00   sec  2.37 GBytes  2549 Mbits/sec  0.001 ms  562/2124803 (0.026%)  receiver
2700 Mbps[  5]   0.00-8.00   sec  2.43 GBytes  2613 Mbits/sec  0.002 ms  11556/2189306 (0.53%)  receiver
2850 Mbps[  5]   0.00-8.00   sec  2.65 GBytes  2848 Mbits/sec  0.001 ms  1377/2374915 (0.058%)  receiver
3000 Mbps[  5]   0.00-8.00   sec  2.76 GBytes  2964 Mbits/sec  0.002 ms  29718/2499757 (1.2%)  receiver
3150 Mbps[  5]   0.00-8.00   sec  2.93 GBytes  3146 Mbits/sec  0.001 ms  2758/2624742 (0.11%)  receiver
3300 Mbps[  5]   0.00-8.00   sec  3.02 GBytes  3245 Mbits/sec  0.001 ms  46033/2749995 (1.7%)  receiver
3450 Mbps[  5]   0.00-8.00   sec  3.16 GBytes  3398 Mbits/sec  0.001 ms  43463/2874889 (1.5%)  receiver
3600 Mbps[  5]   0.00-8.00   sec  3.29 GBytes  3532 Mbits/sec  0.001 ms  56388/2999974 (1.9%)  receiver
3750 Mbps[  5]   0.00-8.00   sec  3.18 GBytes  3413 Mbits/sec  0.001 ms  279616/3124106 (9%)  receiver
3900 Mbps[  5]   0.00-8.00   sec  3.56 GBytes  3822 Mbits/sec  0.001 ms  64066/3249566 (2%)  receiver
4050 Mbps[  5]   0.00-8.00   sec  3.70 GBytes  3977 Mbits/sec  0.001 ms  60445/3374787 (1.8%)  receiver
4200 Mbps[  5]   0.00-8.00   sec  3.61 GBytes  3874 Mbits/sec  0.003 ms  270282/3498611 (7.7%)  receiver
4350 Mbps[  5]   0.00-8.00   sec  3.75 GBytes  4023 Mbits/sec  0.001 ms  159547/3512200 (4.5%)  receiver
